date,holidayBefore,holidayAfter,isHoliday
2016-01-01,6,84,1
2016-01-02,1,83,0
2016-01-03,2,82,0
2016-01-04,3,81,0
2016-01-05,4,80,0
2016-01-06,5,79,0
2016-01-07,6,78,0
2016-01-08,7,77,0
2016-01-09,8,76,0
2016-01-10,9,75,0
2016-01-11,10,74,0
2016-01-12,11,73,0
2016-01-13,12,72,0
2016-01-14,13,71,0
2016-01-15,14,70,0
2016-01-16,15,69,0
2016-01-17,16,68,0
2016-01-18,17,67,0
2016-01-19,18,66,0
2016-01-20,19,65,0
2016-01-21,20,64,0
2016-01-22,21,63,0
2016-01-23,22,62,0
2016-01-24,23,61,0
2016-01-25,24,60,0
2016-01-26,25,59,0
2016-01-27,26,58,0
2016-01-28,27,57,0
2016-01-29,28,56,0
2016-01-30,29,55,0
2016-01-31,30,54,0
2016-02-01,31,53,0
2016-02-02,32,52,0
2016-02-03,33,51,0
2016-02-04,34,50,0
2016-02-05,35,49,0
2016-02-06,36,48,0
2016-02-07,37,47,0
2016-02-08,38,46,0
2016-02-09,39,45,0
2016-02-10,40,44,0
2016-02-11,41,43,0
2016-02-12,42,42,0
2016-02-13,43,41,0
2016-02-14,44,40,0
2016-02-15,45,39,0
2016-02-16,46,38,0
2016-02-17,47,37,0
2016-02-18,48,36,0
2016-02-19,49,35,0
2016-02-20,50,34,0
2016-02-21,51,33,0
2016-02-22,52,32,0
2016-02-23,53,31,0
2016-02-24,54,30,0
2016-02-25,55,29,0
2016-02-26,56,28,0
2016-02-27,57,27,0
2016-02-28,58,26,0
2016-02-29,59,25,0
2016-03-01,60,24,0
2016-03-02,61,23,0
2016-03-03,62,22,0
2016-03-04,63,21,0
2016-03-05,64,20,0
2016-03-06,65,19,0
2016-03-07,66,18,0
2016-03-08,67,17,0
2016-03-09,68,16,0
2016-03-10,69,15,0
2016-03-11,70,14,0
2016-03-12,71,13,0
2016-03-13,72,12,0
2016-03-14,73,11,0
2016-03-15,74,10,0
2016-03-16,75,9,0
2016-03-17,76,8,0
2016-03-18,77,7,0
2016-03-19,78,6,0
2016-03-20,79,5,0
2016-03-21,80,4,0
2016-03-22,81,3,0
2016-03-23,82,2,0
2016-03-24,83,1,0
2016-03-25,84,3,1
