datetime,price,consumption
2016-01-01 00:00:00,"27,75","500,0"
2016-01-01 00:15:00,"24,25","203,2"
2016-01-01 00:30:00,"23,81","279,7"
2016-01-01 00:45:00,"12,50","452,0"
2016-01-01 01:00:00,"24,58","290,4"
2016-01-01 01:15:00,"22,07","142,5"
2016-01-01 01:30:00,"24,03","272,1"
2016-01-01 01:45:00,"18,01","373,5"
2016-01-01 02:00:00,"23,65","283,0"
2016-01-01 02:15:00,"15,20","113,5"
2016-01-01 02:30:00,"6,98","225,2"
2016-01-01 02:45:00,"9,72","359,5"
2016-01-01 03:00:00,"21,38","194,8"
2016-01-01 03:15:00,"15,96","168,5"
2016-01-01 03:30:00,"15,66","164,3"
2016-01-01 03:45:00,"14,93","277,6"
2016-01-01 04:00:00,"16,30","234,0"
2016-01-01 04:15:00,"15,60","192,1"
2016-01-01 04:30:00,"16,52","195,9"
2016-01-01 04:45:00,"18,44","222,8"
2016-01-01 05:00:00,"13,97","345,6"
2016-01-01 05:15:00,"16,87","281,5"
2016-01-01 05:30:00,"19,54","213,0"
2016-01-01 05:45:00,"12,17","402,1"
2016-01-01 06:00:00,"8,53","332,3"
2016-01-01 06:15:00,"15,12","205,2"
2016-01-01 06:30:00,"20,16","132,4"
2016-01-01 06:45:00,"26,93","244,0"
2016-01-01 07:00:00,"10,09","534,3"
2016-01-01 07:15:00,"18,03","282,9"
2016-01-01 07:30:00,"23,34","179,6"
2016-01-01 07:45:00,"29,95","502,8"
2016-01-01 08:00:00,"6,94","746,4"
2016-01-01 08:15:00,"15,32","325,8"
2016-01-01 08:30:00,"27,23","244,5"
2016-01-01 08:45:00,"32,07","733,6"
2016-01-01 09:00:00,"3,41","834,5"
2016-01-01 09:15:00,"15,24","320,4"
2016-01-01 09:30:00,"29,33","344,3"
2016-01-01 09:45:00,"32,99","786,1"
2016-01-01 10:00:00,"8,03","743,4"
2016-01-01 10:15:00,"15,80","276,9"
2016-01-01 10:30:00,"24,29","354,4"
2016-01-01 10:45:00,"24,78","760,7"
2016-01-01 11:00:00,"6,07","579,9"
2016-01-01 11:15:00,"18,67","285,0"
2016-01-01 11:30:00,"27,34","376,6"
2016-01-01 11:45:00,"32,72","555,5"
2016-01-01 12:00:00,"24,26","522,1"
2016-01-01 12:15:00,"25,74","285,1"
2016-01-01 12:30:00,"25,49","263,6"
2016-01-01 12:45:00,"20,80","457,8"
2016-01-01 13:00:00,"24,83","626,6"
2016-01-01 13:15:00,"23,85","355,6"
2016-01-01 13:30:00,"23,08","250,8"
