Stadt,Temperatur,dataAvailability1,Tageshoechsttemperatur,dataAvailability2,Naechtl. Tiefsttemperatur,dataAvailability3,Frosttage,dataAvailability4,Eistage,dataAvailability5,Niederschlagsmenge,dataAvailability6,Niederschlagstage,dataAvailability7,Sonnenstunden pro Tag,dataAvailability8,Windstaerke,dataAvailability9,Schneetage,dataAvailability10,Schneehoehen,dataAvailability11
Aachen,,,,,,,,,,,,,,,,,,,,,,
Aalen,,,,,,,,,,,,,,,,,,,,,,
Achim,,,,,,,,,,,,,,,,,,,,,,
Ahaus,4.8,0.86,7.2,0.89,1.9,0.96,9.0,0.96,0.0,0.86,71.5,0.86,15.0,0.86,3.4,0.96,15.7,1.0,,,,
Ahrensburg,,,,,,,,,,,,,,,,,,,,,,
Aichach,,,,,,,,,,,,,,,,,,,,,,
Alfeld,4.2,0.86,6.5,0.89,1.4,0.96,12.0,0.96,0.0,0.86,51.4,0.75,15.0,0.75,2.3,0.96,6.0,1.0,,,,
Allgaeu,,,,,,,,,,,,,,,,,,,,,,
Allgaeuer Alpen,,,,,,,,,,,,,,,,,,,,,,
Altenberg,-0.6,0.86,1.1,0.89,-2.3,0.96,22.0,0.96,11.0,0.86,74.1,0.75,16.0,0.75,1.0,0.93,22.5,1.0,20.0,0.68,4.1,0.68
Altenburg,,,5.3,0.1,,,,,,,,,,,,,16.6,0.79,,,,
Altenkirchen,,,,,,,,,,,,,,,,,,,,,,
Altes Land,,,5.2,0.72,,,,,,,,,,,,,18.6,0.86,,,,
Alte Weser Leuchtturm,4.7,0.93,6.0,0.93,3.2,1.0,1.0,1.0,0.0,0.93,,,,,2.9,1.0,37.0,1.0,,,,
Altmark,4.4,0.86,7.1,0.89,1.3,0.96,11.0,0.96,0.0,0.86,34.1,0.75,14.0,0.75,2.4,0.96,13.8,1.0,1.0,0.03,1.0,0.03
Altoetting,,,,,,,,,,,,,,,,,,,,,,
Alzey,,,,,,,,,,,,,,,,,,,,,,
Amberg,,,,,,,,,,,,,,,,,,,,,,
Amrum,,,,,,,,,,,,,,,,,,,,,,
Andernach,5.5,0.86,8.6,0.89,2.1,0.96,9.0,0.96,0.0,0.86,29.4,0.75,13.0,0.75,2.1,0.96,11.0,1.0,,,,
Anklam,,,,,,,,,,,,,,,,,,,,,,
Annaberg-Buchholz,,,,,,,,,,,,,,,,,,,,,,
Ansbach,,,4.8,0.93,,,,,,,,,,,,,16.5,1.0,,,,
Arnsberg,,,,,,,,,,,,,,,,,,,,,,
Arnstadt,,,,,,,,,,,,,,,,,,,,,,
Artern/Unstrut,4.3,0.86,7.1,0.89,1.4,0.96,11.0,0.96,1.0,0.86,30.0,0.75,14.0,0.75,1.9,0.96,16.0,1.0,,,,
Aschaffenburg,,,,,,,,,,,,,,,,,,,,,,
Aschersleben,,,,,,,,,,,,,,,,,20.1,1.0,,,,
Aue,,,,,,,,,,,,,,,,,,,,,,
Augsburg,4.1,1.0,7.3,1.0,0.9,1.0,12.0,1.0,0.0,1.0,49.3,1.0,17.0,1.0,1.8,1.0,16.5,1.0,4.0,0.13,1.8,0.13
Aulendorf,,,,,,,,,,,,,,,,,,,,,,
Aurich,,,,,,,,,,,,,,,,,,,,,,
Backnang,,,,,,,,,,,,,,,,,,,,,,
Bad Belzig,3.7,0.86,6.1,0.89,1.1,0.96,12.0,0.96,0.0,0.86,47.5,0.75,12.0,0.75,2.0,0.96,17.1,1.0,1.0,0.03,1.0,0.03
Bad Doberan,,,,,,,,,,,,,,,,,,,,,,
Bad Ems,,,,,,,,,,,,,,,,,,,,,,
Baden-Baden,,,8.1,1.0,,,,,,,,,,,,,17.7,1.0,,,,
Bad Hersfeld,3.7,0.89,6.3,0.93,1.0,0.96,10.0,0.96,0.0,0.89,32.6,0.82,14.0,0.82,1.6,0.96,14.2,1.0,7.0,0.24,1.0,0.24
Bad Homburg vor der Hoehe,,,,,,,,,,,,,,,,,,,,,,
Bad Kissingen,3.5,0.82,5.9,0.86,1.0,0.96,11.0,0.96,0.0,0.82,42.9,0.75,10.0,0.75,1.3,0.96,15.1,1.0,8.0,0.27,1.0,0.27
Bad Kreuznach,,,,,,,,,,,,,,,,,,,,,,
Bad Laasphe,,,,,,,,,,,,,,,,,,,,,,
Bad Liebenwerda,,,,,,,,,,,,,,,,,,,,,,
Bad Mergentheim,,,,,,,,,,,,,,,,,,,,,,
Bad Neuenahr-Ahrweiler,,,,,,,,,,,,,,,,,,,,,,
Bad Neustadt,,,,,,,,,,,,,,,,,,,,,,
Bad Oldesloe,,,,,,,,,,,,,,,,,,,,,,
Bad Peterstal-Griesbach,,,,,,,,,,,,,,,,,,,,,,
Bad Salzuflen,4.3,0.86,6.6,0.89,1.6,0.96,11.0,0.96,0.0,0.86,57.2,0.75,14.0,0.75,2.5,0.96,12.7,1.0,7.0,0.24,1.4,0.24
Bad Salzungen,,,,,,,,,,,,,,,,,,,,,,
Bad Schwalbach,,,,,,,,,,,,,,,,,,,,,,
Bad Segeberg,,,,,,,,,,,,,,,,,,,,,,
Bad Sobernheim,,,,,,,,,,,,,,,,,,,,,,
Bad Soden-Salmuenster,,,,,,,,,,,,,,,,,,,,,,
Bad Toelz,,,,,,,,,,,,,,,,,,,,,,
Bad Waldsee,,,,,,,,,,,,,,,,,,,,,,
Balingen,,,,,,,,,,,,,,,,,,,,,,
Baltrum,,,,,,,,,,,,,,,,,,,,,,
Bamberg,4.1,1.0,6.9,1.0,1.2,1.0,10.0,1.0,0.0,1.0,52.3,1.0,19.0,1.0,1.2,1.0,11.3,1.0,6.0,0.2,1.0,0.2
Baruth,4.3,0.82,7.6,0.86,1.1,0.96,12.0,0.96,0.0,0.82,34.9,0.75,13.0,0.75,2.4,0.93,15.5,1.0,,,,
Bautzen,,,,,,,,,,,,,,,,,,,,,,
