ratio,loss,penalty,n_splits,tol,score
0.95,hinge,l2,50,0.001,0.5715604395604394
0.95,hinge,l2,50,0.003,0.5779340659340659
0.95,hinge,l2,50,0.005,0.5827692307692307
0.95,hinge,l2,50,0.007,0.5788571428571428
0.95,hinge,l2,50,0.01,0.5856263736263736
0.95,hinge,l2,100,0.001,0.5931428571428572
0.95,hinge,l2,100,0.003,0.5763516483516483
0.95,hinge,l2,100,0.005,0.5867252747252747
0.95,hinge,l2,100,0.007,0.5921318681318681
0.95,hinge,l2,100,0.01,0.581054945054945
0.95,hinge,l2,150,0.001,0.579032967032967
0.95,hinge,l2,150,0.003,0.5722197802197803
0.95,hinge,l2,150,0.005,0.5685714285714285
0.95,hinge,l2,150,0.007,0.5856263736263736
0.95,hinge,l2,150,0.01,0.5747252747252747
0.95,hinge,elasticnet,50,0.001,0.5696263736263736
0.95,hinge,elasticnet,50,0.003,0.5803516483516484
0.95,hinge,elasticnet,50,0.005,0.5879999999999999
0.95,hinge,elasticnet,50,0.007,0.582945054945055
0.95,hinge,elasticnet,50,0.01,0.5784175824175823
0.95,hinge,elasticnet,100,0.001,0.5647472527472528
0.95,hinge,elasticnet,100,0.003,0.5814945054945054
0.95,hinge,elasticnet,100,0.005,0.5770109890109889
0.95,hinge,elasticnet,100,0.007,0.5715604395604394
0.95,hinge,elasticnet,100,0.01,0.5731428571428572
0.95,hinge,elasticnet,150,0.001,0.5757362637362637
0.95,hinge,elasticnet,150,0.003,0.5811868131868131
0.95,hinge,elasticnet,150,0.005,0.5752527472527473
0.95,hinge,elasticnet,150,0.007,0.5807912087912088
0.95,hinge,elasticnet,150,0.01,0.5966593406593407
0.95,hinge,none,50,0.001,0.5881318681318681
0.95,hinge,none,50,0.003,0.5905054945054945
0.95,hinge,none,50,0.005,0.5888351648351648
0.95,hinge,none,50,0.007,0.59410989010989
0.95,hinge,none,50,0.01,0.5933626373626373
0.95,hinge,none,100,0.001,0.6028571428571429
0.95,hinge,none,100,0.003,0.5964395604395605
0.95,hinge,none,100,0.005,0.5919560439560441
0.95,hinge,none,100,0.007,0.5960439560439561
0.95,hinge,none,100,0.01,0.5954285714285714
0.95,hinge,none,150,0.001,0.5894505494505493
0.95,hinge,none,150,0.003,0.5814505494505494
0.95,hinge,none,150,0.005,0.5933186813186813
0.95,hinge,none,150,0.007,0.5930989010989011
0.95,hinge,none,150,0.01,0.5931868131868131
0.95,hinge,l1,50,0.001,0.5906373626373627
0.95,hinge,l1,50,0.003,0.5967912087912088
0.95,hinge,l1,50,0.005,0.5800439560439561
0.95,hinge,l1,50,0.007,0.5854505494505494
0.95,hinge,l1,50,0.01,0.594945054945055
0.95,hinge,l1,100,0.001,0.5861978021978022
0.95,hinge,l1,100,0.003,0.6004395604395605
0.95,hinge,l1,100,0.005,0.5918241758241758
0.95,hinge,l1,100,0.007,0.5881758241758241
0.95,hinge,l1,100,0.01,0.590857142857143
0.95,hinge,l1,150,0.001,0.573098901098901
0.95,hinge,l1,150,0.003,0.5872967032967032
0.95,hinge,l1,150,0.005,0.5968791208791208
0.95,hinge,l1,150,0.007,0.5864175824175824
0.95,hinge,l1,150,0.01,0.5934945054945054
0.95,log,l2,50,0.001,0.582945054945055
0.95,log,l2,50,0.003,0.5792527472527473
0.95,log,l2,50,0.005,0.5879999999999999
0.95,log,l2,50,0.007,0.5734505494505495
0.95,log,l2,50,0.01,0.5897582417582418
0.95,log,l2,100,0.001,0.591032967032967
0.95,log,l2,100,0.003,0.5833406593406594
0.95,log,l2,100,0.005,0.5958241758241758
0.95,log,l2,100,0.007,0.5752087912087912
0.95,log,l2,100,0.01,0.5821538461538461
0.95,log,l2,150,0.001,0.584
0.95,log,l2,150,0.003,0.5832967032967032
0.95,log,l2,150,0.005,0.575032967032967
0.95,log,l2,150,0.007,0.5785054945054944
0.95,log,l2,150,0.01,0.5792087912087911
