ratio,max_depth,min_samples_split,max_leaf_nodes,min_impurity_decrease,score
,5.0,150.0,5.0,0.25,0.72
0.975,10.0,150.0,,0.25,0.72
,7.0,2.0,3.0,0.3,0.72
0.95,3.0,150.0,3.0,0.15,0.72
,10.0,2.0,15.0,0.0,0.724
0.95,5.0,150.0,5.0,0.3,0.72
0.95,,50.0,3.0,0.3,0.72
,7.0,100.0,3.0,0.15,0.72
0.95,5.0,2.0,10.0,0.15,0.72
0.975,7.0,150.0,2.0,0.25,0.72
0.95,5.0,150.0,2.0,0.25,0.72
,,50.0,15.0,0.3,0.72
0.95,7.0,100.0,10.0,0.15,0.72
0.975,,100.0,10.0,0.15,0.72
,,150.0,,0.0,0.72
0.975,7.0,50.0,,0.0,0.71
,3.0,100.0,,0.0,0.72
0.95,10.0,100.0,10.0,0.3,0.72
0.975,3.0,2.0,2.0,0.25,0.72
0.95,,150.0,3.0,0.25,0.72
0.975,5.0,2.0,15.0,0.3,0.72
0.95,10.0,2.0,3.0,0.25,0.72
0.95,3.0,100.0,10.0,0.25,0.72
,3.0,50.0,,0.25,0.72
0.95,7.0,100.0,,0.25,0.72
0.95,5.0,150.0,5.0,0.25,0.72
,,50.0,5.0,0.3,0.72
0.975,10.0,150.0,2.0,0.35,0.72
0.95,10.0,50.0,2.0,0.35,0.72
0.95,10.0,2.0,15.0,0.25,0.72
0.95,5.0,50.0,10.0,0.35,0.72
0.975,3.0,150.0,15.0,0.3,0.72
0.975,7.0,150.0,5.0,0.3,0.72
,3.0,50.0,,0.15,0.72
0.95,3.0,50.0,3.0,0.35,0.72
0.975,3.0,100.0,,0.25,0.72
,7.0,2.0,15.0,0.3,0.72
0.975,5.0,50.0,3.0,0.0,0.7259999999999999
0.975,7.0,50.0,,0.15,0.72
0.95,7.0,100.0,10.0,0.3,0.72
0.975,10.0,50.0,,0.0,0.71
0.975,5.0,50.0,,0.15,0.72
0.975,5.0,150.0,3.0,0.0,0.72
0.95,7.0,2.0,15.0,0.15,0.72
0.95,5.0,50.0,5.0,0.25,0.72
0.95,7.0,2.0,5.0,0.35,0.72
0.975,5.0,150.0,,0.25,0.72
0.975,3.0,100.0,10.0,0.25,0.72
0.975,5.0,2.0,,0.15,0.72
0.95,,50.0,5.0,0.15,0.72
0.95,7.0,150.0,5.0,0.3,0.72
0.975,5.0,150.0,2.0,0.15,0.72
0.95,7.0,100.0,2.0,0.15,0.72
0.95,,100.0,15.0,0.0,0.72
,7.0,100.0,15.0,0.0,0.72
,3.0,100.0,,0.35,0.72
0.95,10.0,50.0,2.0,0.15,0.72
0.975,5.0,50.0,15.0,0.35,0.72
,5.0,100.0,10.0,0.0,0.72
0.95,3.0,150.0,2.0,0.35,0.72
,7.0,50.0,10.0,0.15,0.72
0.975,7.0,50.0,,0.25,0.72
,5.0,150.0,5.0,0.35,0.72
,10.0,100.0,10.0,0.15,0.72
,5.0,100.0,15.0,0.35,0.72
0.95,,100.0,2.0,0.0,0.72
0.975,3.0,150.0,,0.15,0.72
0.975,5.0,50.0,2.0,0.25,0.72
,,100.0,,0.25,0.72
,10.0,100.0,5.0,0.0,0.72
0.95,7.0,150.0,15.0,0.25,0.72
,,150.0,3.0,0.3,0.72
,10.0,50.0,5.0,0.3,0.72
,,50.0,15.0,0.35,0.72
0.95,,100.0,15.0,0.35,0.72
,7.0,150.0,3.0,0.35,0.72
0.975,3.0,150.0,3.0,0.25,0.72
0.975,3.0,150.0,3.0,0.25,0.72
0.95,,150.0,10.0,0.35,0.72
0.95,,2.0,,0.3,0.72
0.975,5.0,150.0,10.0,0.35,0.72
0.95,7.0,100.0,10.0,0.0,0.72
,3.0,2.0,2.0,0.0,0.72
0.975,10.0,150.0,10.0,0.25,0.72
0.975,3.0,100.0,,0.3,0.72
,3.0,50.0,15.0,0.0,0.7220000000000001
0.975,7.0,100.0,15.0,0.3,0.72
0.975,7.0,150.0,,0.3,0.72
0.975,10.0,100.0,10.0,0.0,0.718
0.975,7.0,100.0,3.0,0.15,0.72
0.95,5.0,150.0,2.0,0.3,0.72
,5.0,100.0,15.0,0.0,0.72
0.975,10.0,2.0,5.0,0.0,0.7259999999999999
,3.0,2.0,15.0,0.35,0.72
0.95,10.0,50.0,5.0,0.15,0.72
,5.0,100.0,5.0,0.25,0.72
,10.0,50.0,,0.15,0.72
,7.0,50.0,5.0,0.3,0.72
0.975,5.0,100.0,15.0,0.15,0.72
,,150.0,5.0,0.35,0.72
0.975,3.0,150.0,,0.35,0.72
0.975,,100.0,10.0,0.0,0.72
0.95,,2.0,15.0,0.35,0.72
0.95,,50.0,,0.0,0.702
0.975,10.0,2.0,15.0,0.3,0.72
0.95,3.0,2.0,,0.25,0.72
0.95,5.0,50.0,3.0,0.25,0.72
,7.0,100.0,2.0,0.25,0.72
0.95,3.0,50.0,5.0,0.25,0.72
0.95,5.0,100.0,,0.25,0.72
,7.0,150.0,5.0,0.35,0.72
,,150.0,10.0,0.15,0.72
0.975,5.0,50.0,,0.15,0.72
0.95,7.0,2.0,2.0,0.3,0.72
0.975,3.0,50.0,2.0,0.25,0.72
0.975,7.0,150.0,5.0,0.3,0.72
0.95,7.0,150.0,10.0,0.0,0.72
0.975,,2.0,10.0,0.15,0.72
0.975,10.0,100.0,10.0,0.15,0.72
0.95,10.0,100.0,,0.35,0.72
0.95,10.0,2.0,2.0,0.0,0.72
0.95,5.0,2.0,10.0,0.15,0.72
0.95,7.0,150.0,15.0,0.25,0.72
0.95,3.0,50.0,3.0,0.0,0.72
0.95,5.0,50.0,3.0,0.3,0.72
,5.0,150.0,15.0,0.15,0.72
0.95,,2.0,10.0,0.15,0.72
0.975,10.0,50.0,3.0,0.3,0.72
0.975,10.0,2.0,10.0,0.15,0.72
,3.0,50.0,2.0,0.25,0.72
0.95,10.0,100.0,3.0,0.0,0.72
0.95,10.0,2.0,2.0,0.15,0.72
,7.0,100.0,10.0,0.25,0.72
,10.0,50.0,10.0,0.3,0.72
0.95,,150.0,,0.15,0.72
,,2.0,3.0,0.0,0.724
0.975,,2.0,5.0,0.0,0.724
0.95,10.0,100.0,2.0,0.25,0.72
0.975,5.0,50.0,3.0,0.15,0.72
0.95,3.0,150.0,,0.35,0.72
0.975,3.0,50.0,10.0,0.25,0.72
0.95,5.0,50.0,3.0,0.0,0.72
0.95,10.0,50.0,15.0,0.3,0.72
,3.0,50.0,2.0,0.35,0.72
,3.0,100.0,15.0,0.0,0.7219999999999999
0.95,7.0,50.0,,0.35,0.72
,5.0,50.0,,0.25,0.72
,5.0,50.0,10.0,0.15,0.72
0.975,3.0,50.0,3.0,0.35,0.72
0.95,3.0,150.0,15.0,0.0,0.72
